Date,amount_dispensed,t_minus_1,t_minus_2,t_minus_3,t_minus_7,weekday,month,pm25,pm10
2021-06-03,2040.0,560.0,1700.0,1540.0,500.0,3,6,,17.0
2021-06-04,720.0,2040.0,560.0,1700.0,820.0,4,6,11.0,27.0
2021-06-05,1160.0,720.0,2040.0,560.0,540.0,5,6,14.0,11.0
2021-06-06,500.0,1160.0,720.0,2040.0,1080.0,6,6,10.0,6.0
2021-06-07,400.0,500.0,1160.0,720.0,1540.0,0,6,11.0,5.0
2021-06-08,120.0,400.0,500.0,1160.0,1700.0,1,6,12.0,13.0
2021-06-09,920.0,120.0,400.0,500.0,560.0,2,6,13.0,9.0
2021-06-10,120.0,920.0,120.0,400.0,2040.0,3,6,18.0,
2021-06-11,760.0,120.0,920.0,120.0,720.0,4,6,,
2021-06-12,200.0,760.0,120.0,920.0,1160.0,5,6,,
2021-06-13,800.0,200.0,760.0,120.0,500.0,6,6,,
2021-06-14,800.0,800.0,200.0,760.0,400.0,0,6,,
2021-06-15,600.0,800.0,800.0,200.0,120.0,1,6,,
2021-06-16,1860.0,600.0,800.0,800.0,920.0,2,6,,
2021-06-17,1140.0,1860.0,600.0,800.0,120.0,3,6,,
2021-06-18,660.0,1140.0,1860.0,600.0,760.0,4,6,,13.0
2021-06-19,1220.0,660.0,1140.0,1860.0,200.0,5,6,15.0,
2021-06-20,480.0,1220.0,660.0,1140.0,800.0,6,6,,5.0
2021-06-21,1380.0,480.0,1220.0,660.0,800.0,0,6,,13.0
2021-06-22,660.0,1380.0,480.0,1220.0,600.0,1,6,16.0,23.0
2021-06-23,280.0,660.0,1380.0,480.0,1860.0,2,6,26.0,14.0
2021-06-24,500.0,280.0,660.0,1380.0,1140.0,3,6,7.0,
2021-06-25,600.0,500.0,280.0,660.0,660.0,4,6,,
2021-06-26,0.0,600.0,500.0,280.0,1220.0,5,6,,
2021-06-27,300.0,0.0,600.0,500.0,480.0,6,6,,
2021-06-28,80.0,300.0,0.0,600.0,1380.0,0,6,,
2021-06-29,480.0,80.0,300.0,0.0,660.0,1,6,,
2021-06-30,1040.0,480.0,80.0,300.0,280.0,2,6,,
2021-07-01,200.0,1040.0,480.0,80.0,500.0,3,7,,
2021-07-02,240.0,200.0,1040.0,480.0,600.0,4,7,,
2021-07-03,1020.0,240.0,200.0,1040.0,0.0,5,7,,
2021-07-04,1280.0,1020.0,240.0,200.0,300.0,6,7,,
2021-07-05,500.0,1280.0,1020.0,240.0,80.0,0,7,,
2021-07-06,740.0,500.0,1280.0,1020.0,480.0,1,7,,
2021-07-07,1700.0,740.0,500.0,1280.0,1040.0,2,7,,
2021-07-08,160.0,1700.0,740.0,500.0,200.0,3,7,,
2021-07-09,1060.0,160.0,1700.0,740.0,240.0,4,7,,
2021-07-10,260.0,1060.0,160.0,1700.0,1020.0,5,7,,
2021-07-11,200.0,260.0,1060.0,160.0,1280.0,6,7,,
2021-07-12,800.0,200.0,260.0,1060.0,500.0,0,7,,
2021-07-13,840.0,800.0,200.0,260.0,740.0,1,7,,
2021-07-14,1240.0,840.0,800.0,200.0,1700.0,2,7,,
2021-07-15,600.0,1240.0,840.0,800.0,160.0,3,7,,
2021-07-16,400.0,600.0,1240.0,840.0,1060.0,4,7,,
